word、PPT	生物信息工程师
常用的数据结构与排序算法	C/C++软件工程师
服务器硬件	SAP BASIS实施工程师
C#	软件工程师,程序员,实施工程师,项目经理,Java程序员,软件开发,.net研发员,Android工程师,软件研发工程师,项目总监
CMM 检查	数据库管理员、ERP
俄语软件	代表处
parsley	java+flex开发工程师
二、三维制图软件（CAD、UG）	采购工程师
材料科学	工程师
Sql sever2000	软件工程师
JSON	软件开发
组织能力	人事（行政）专员,项目经理,餐饮经理、中小学教师,人事专员,实习生,渠道专员、销售代表、公关专员、企业策划,人力资源经理
MVC，DAO,SSH	java程序员
dreamweaver	网页设计制作,技术员,淘宝美工/网页设计/淘宝设计/平面设计/设计主管,各种职位,软件测试、与计算机相关的任何职位,编辑校对,技术支持,网页设计师,java程序员,电子商务/seo
Windows Sockets (Winsock)	开发工程师
solidwoks	IE工程师
C1	实习编辑,业务经理
区域管理	区域经理
Css、Html	android应用工程师
Microsoft C# .NET (C Sharp .NET)	软件工程师/测试工程师/销售工程师,软件工程师
Struts2，Hibernate	JAVA工程师
货运	船务
CATIA	电气工程师,技术管理,开发担当,汽车零件开发设计,技术工程师,产品结构设计
Linux内核驱动程序	嵌入式软件工程师
java Web开发	JAVA开发
高级中学教师资格证 	小学数学教师
考取PS平面设计师证书	新闻部编辑
STAR-CD	CAE分析工程师
管道工程	焊接工程师
熟练xml,json解析技术	Android开发工程师
游泳	建筑工,电气工程师,工业工程相关专业
Server 2003/2008	售后技术支持
天正	安装造价员,施工员、技术员
Pro/e，CAD	模具设计师
aix	主任工程师
金融衍生产品	金融 财务 会计 投行等相关行业,客户经理、客户经理助理,衍生品-期货-证劵股票
Help Desk	系统管理员
商务	商务经理
网络编程	嵌入式硬件工程师,网页设计 网站工程师,具有良好发展前景，提供员工自身积极追求，计算机专业相关的岗位      ,物流主管,软件开发员
Ofiice	市场总监
PKPM/SAP2000/3DMAX	预结算员
Windows 各系统的安装、维护和管理	网络工程师
html,css	嵌入式开发,java软件工程师
ATL WTL COM	c++
oracle数据库SQL	嵌入式开发工程师
定量分析	市场分析
采购管理	产品经理,运营总监,采购专员
各种制图软件	行销专员
化验方法	化工相关职业   助理,质量经理
Xmind	测试经理
掌握android数据库开，androi	android开发
擅长PPT制作	活动执行&活动策划
after effects	建筑动画
Office 软件	技术开发兼质量经理
办公软件、绘图软件、影视后期制作软件	技术支持工程师
能够熟练的操作word、excel、erp等办公软件以及用友和金蝶等财务软件	会计主管、财务经理
ccnp	网络、系统工程师
VC6.0	软件开发工程师
Linux shell 高级编程	软件开发
Python	程序猿,软件开发工程师,软件研发工程师,测试经理,软件工程师(C++),架构师
potshop	人事行政总监
Freescale单片机/ARM	嵌入式软件工程师
SQLserver	计算机
keil、proteus、VC++6.0	单片机助理
Sketchup	景观设计师助理,设计师,工程设计师,测绘工程师
.net(c#)	技术总监
sql sever	数据统计类
工厂管理	厂长/总监/经理
数据挖掘工具（ODM，SPSS等）	高级项目经理
熟悉计算机网络和TCP/IP 协议	网络工程师
Inventor	结构设计,机械研发 机械设计 技术支持,环保相关、水处理
VB	软件工程师,电子助理工程师,测量/计量工程师,C/C++软件开发,单片机软件工程师,嵌入式软件工程师,数据分析师,全职,机器人售后服务,嵌入式软件设计师
天顿财务软件	会计
英语等级证书 (CET-6）	私人银行客户经理
mySQL	软件工程师
微软产品应用能手证书	关务
VR	设计经理
驾照c1	行政助理
国家计算机二级证书	编辑
sql2008数据、Access数据库	.net程序员
cad,3d,ps	助理设计师
广联达	施工员,技术员,营销策划,预算员,土建造价工程师,二级建造师, 技术总监,造价员,暖通设计
java web	JAVA开发,java 开发程序员
Help Desk-MS Office	机械工程师,区域运营经理,项目经理,新疆省经理,市场调研员,CTO/COO,绘图员,系统兼容性整合测试工程师,财务会计,经理
统一建模语言 (UML)	软件工程师,.NET软件开发工程师
ACCESS	数据分析师,人事助理,管理培训生；HR
C\C++	电控工程师,Android开发工程师
计算机2级，英语4级	项目管理，质量管理，工业工程师，财会
Oracle RAC (真正应用集群)	ORACLE DBA
Micrrosoft office	产品开发工程师
绩效管理	人力资源部经理,副总,人力资源
物料计划	网络工程师 网络管理员
KEIL/IAR/MPLAB	嵌入式工程师
solaris	数据库管理员
ADAMS	研发助理
C编程语言并画出程序流程图	软件测试工程师
Struts2+Hibernate	软件工程师
Android应用开发	iOS开发工程师
用友会计软件	税务
Java 2 Platform Micro Edition (J2ME)	高级软件工程师
模具设计	塑胶模具设计工程师,模具中心经理,模具工程师、结构工程师,模具工程师,模具开发工程师
Design/Media-Corel Draw	运营总监,设计师,工程师,平面设计师,建筑方案,注册化工工程师,客服及订单管理师,机械设计工程师,产品设计工程师,艺术总监
黑盒测试	软件测试工程师,cad cam
Mybatis	java工程师,java程序员
CAD，solidworks	副厂长/管理代表
施工管理	施工员,工程师,道桥、隧道工程师,土建工程师,施工员  造价员   结构工程师,房建路桥装修施工员,工程总监,甲方代表,施工员兼测量员,施工员、测量员
华为交换VLAN	网络工程师
InDesign  AI	建筑设计师
应收帐款处理	会计、出纳
ajax/jquery技术	开发工程师
SQL( 结构化查询语言) 	电子商务
算法设计与实现	高级软件工程师
fortran	机械有限元计算
cad	施工员,工业设计,预算员,后勤主管,项目经理,技术员,产品设计师,测试技术员,景观设计师助理,人事经理
POS机	技术服务
Lotus Notes	生产经理,财务 内审,软件工程师,嵌入式软件工程师,软件测试工程师/软件开发测试工程师,经理
maya	3d design,总监
ADAMS运动仿真	断路器研发工程师
iOS	 iPhone软件工程师,Android软件开发,ios开发,资深软件工程师
Abap语言	软件工程师
测量	施工员,技术支持，产品经理，系统销售。,测量员,测量员与施工员,项目经理,土建资料员兼施工员
品牌管理	项目管理
分析方法验证	化学分析
AD10	电气工程师
Cisco	信息技术经理/主管
oracle、sql语句	软件开发工程师
熟悉Tomcat6.0	java开发
熟练使用office word、visio、illustrator、foxit 	科技英语翻译、技术文档工程师
Operating Systems-UNIX	测试工程师,IT Manager,产品经理,DBA,高校讲师/咨询师 讲师/培训／架构师/java/全文／系统性能优化,系统集成,IT技术高级工程师,associate professor,维杰思科技（杭州）有限公司,project engineer
Word,Excel,Powerpoint	设计
CCNP	网络工程师
电子测量工具	电子工程师；测试开发工程师；项目管理；硬件工程师,nslaflh1314,工程师
linux（CentOS）	仿真工程师
C语言/VC++、Delphi、java	软件测试
Web Develop-Java	软件工程师,java软件工程师,软件开发工程师,项目经理,程序员,Java工程师,技术经理,部门经理,测试工程师,软件研发工程师
需求分析软件	项目经理
unix	C 语言软件开发
电气控制	电气工程师
流程管理	企业文化
熟练使用 VC++	赴IBM软件开发工程师
餐饮管理	培训主管
熟悉Linux操作系统；	软件工程师
clementine	数据分析
用友财务软件	会计,财务文员,财务,会计 会计助理  审计助理 ,工程助理,活动执行,学生
方正飞腾	内刊编辑, 企业文化经理
Windows Presentation Foundation (WPF)	软件研发工程师
AutoCAD证书 	机械设计师
WINDOWS	项目总监,研发部主管,网络管理员
OC	iOS应用开发工程师,iOS工程师,ios开发工程师
Linux内核	软件开发
Pre/E	项目经理
Java   /   JSP	Java研发工程师
简单的Matlab语言编程	市场营销
领导能力	销售代表,结构设计师
安卓	嵌入式软件工程师
施工验收	施工员实习
WindowsServer 2003	实施工程师
计算机绘图	IE项目工程师
JMP	FA
JAVA\ANDROID	android开放工程师
Auto-CAD	品控或研发助理
rhino	产品造型设计
防火墙	IT基础架构经理
php网站开发	php程序员
uml	软件工程师
Microsoft Excel	会计助理,审计助理,实习生,管理培训生,会计,产品经理,数据分析,Java工程师,recruitment consultant,数据挖掘 数据建模 数据专员
masterCAM	机械工程师,机械设计,机械
CCNA	系统管理员·网管
Java基础知识	java软件工程师
CSS+HTML	ERP实施工程师
oracle/mysql关系型数据库	JAVA软件开发相关岗位
 SQL Server	程序员
ERP-SAP	会计主管,市场经理,IE工程师,税务会计,董事长助理兼财务总监,Project Finance Manager,工程师,物流经理,项目融资经理,品质主管
Adobe premiere	编导 摄像 后期
Verilog HDL	电子工程师
有实际的.Net项目经验,C/S和B/S	.net软件工程师
CAPP	工艺技术员,机械相关,机械设计/产品研发工程师 ,结构工程师
keyshot	工业设计师,设计师,工业设计
plc	核电相关技术，管理工作。管道，阀门设计和安装管理
QTP自动化功能测试工具	软件测试工程师
AutoCAD 文件处理	衣柜设计/CAD制图,机械工程类,设计员,电气工程及其自动化 电气工程师  安装工程师 设计 成套设备,机械工程师,硬件开发工程师,技术人员，咨询,项目经理 项目经理助理
affter cffects	广播电视编导
通信系统	销售工程师,通信工程师
风险控制	实习律师,交易员
日语二级证书	文员 资料录入员,外贸业务员,HR,外贸,日语翻译,翻译销售,人事行政经理兼总经理助理,设计工程师
axure，viso	数据挖掘
英语教学软件	教师  银行柜员 文员 销售
t-sql	java程序员
Unix Shell	软件工程师
JavaServer Pages (JSP)	软件工程师,java软件工程师,java 软件工程师,实施工程师,初级软件工程师,ios软件开发工程师,Java工程师,ios应用开发,机械工程师,java开发工程师
windows 2003	网络工程师
税务报税系统及开票系统	会计主管
Sharepoint	项目主管
Excel，Word等办公软件	会计
供应商质量管理	供应商质量主管工程师,供应链管理经理
word  excel等办公软件	LED照明研发总监
机械设计	机械工程师,助理工程师,工程师,Senior Mechanical Engineer,机械结构设计研发管理，研发项目经理，高级研发人员,机械设计工程师,经理,销售经理,设备监造工程师,设计师
Design/Media-Dreamweaver	产品经理,平面设计师,市场专员,软件工程师,美工,助理咨询师,ebay法国销售(法国组组长）,电子商务,软件测试工程师,技术支持主管
熟练掌握数据库知识和SQL语句，熟练使用	JAVA软件工程师
ppt	人事专员,会计,生产实习,会计助理,销售代表,区域经理,安全工程师,生产管理,预算员,采购员
Java	软件工程师,java软件工程师,软件开发工程师,嵌入式软件工程师,Java工程师,java,测试工程师,软件测试,asp.net工程师/程序员,首席架构师
MCGES	硬件工程师
融资	资金财务部副部长
采购	导购,采购专员
SqlServer 2003、2008	研发工程师
abaqus	管理培训生
IT项目咨询	PMP
sql、数据库	软件测试
java web开发	软件工程师,java程序员
SSH/M	java软件开发工程师
ATA	助理工程师
CPLD/FPGA逻辑设计	硬件设计 多层PCB
AutoCAD；Pro/E	产品设计师；技术工程师；产品销售
编程语言JAVA	C++软件工程师
熟悉Linux操作系统	学生
Java Script 语言	技术员
Intuit Quickbooks	会计助理
IBM Rational ClearCase	软件配置管理工程师
